caption, description, link
CAPTION, tree-based widget , http://mbraak.github.io/jqTree/
CAPTION, DESCRIPTION , http://mjsarfatti.com/sandbox/nestedSortable/
CAPTION, DESCRIPTION , http://jsonviewer.codeplex.com/
CAPTION, DESCRIPTION , http://jsonwidget.org/wiki/Jsonwidget
CAPTION, DESCRIPTION , http://xmlwebpad.codeplex.com/
CAPTION, DESCRIPTION , http://hicoder.posterous.com/json-editor-component-flex
CAPTION, DESCRIPTION , https://github.com/iterationlabs/jsoneditor
CAPTION, description, http://www.slant.co/topics/2213/~what-are-the-best-wysiwyg-tree-view-etc-editors-for-json-xml-yaml-toml-data-files
